Year,Make,Model,Location,Price,Mileage,URL
2020,MG,"['hs', 'excite']","Brisbane, QLD",22500,22K km,/marketplace/item/1541729243289301/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,['core'],"Brisbane, QLD",16900,3.7K km,/marketplace/item/664549752299071/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['hs'],"Brisbane, QLD",123456,5K km,/marketplace/item/837535934814741/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,"['hs', 'essence']","Brisbane, QLD",24499,10K km,/marketplace/item/1213463573373788/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,"['hs', 'essence', 'trophy']","Brisbane, QLD",27000,5.7K km,/marketplace/item/1285055605495183/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,"['HS+EV', 'essence']","Brisbane, QLD",45000,6.8K km,/marketplace/item/1201441581240664/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,"['mg3', 'excite']","Brisbane, QLD",18500,27K km,/marketplace/item/3752034488360246/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['zst'],"Bribie Island, QLD",25000,29K km,/marketplace/item/755337323164417/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,MG,['3'],"Gold Coast, QLD",13990,65K km,/marketplace/item/1427604201489329/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['zst'],"Gold Coast, QLD",22000,46K km,/marketplace/item/1742796886240574/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['zst'],"Brisbane, QLD",23000,20K km,/marketplace/item/930385861984551/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018,MG,['turbo'],"Gold Coast, QLD",13500,82K km,/marketplace/item/1152749709435118/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,['zst'],"Hervey Bay, QLD",22000,33K km,/marketplace/item/927281478780293/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['zs'],"Sunshine Coast, QLD",21500,17K km,/marketplace/item/1076381723569078/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['excite'],"Port Macquarie, NSW",16500,10K km,/marketplace/item/1088407492301122/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,['mg3'],"Toowoomba, QLD",15500,45K km,/marketplace/item/1555534928598404/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,"['mg3', 'core']","Port Macquarie, NSW",18490,700 km,/marketplace/item/749865916689390/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,['szp1'],"Sandy Beach, NSW",15900,20K km,/marketplace/item/3525414691030594/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,"['zs', 'excite']","Bundaberg, QLD",18000,42K km,/marketplace/item/717490723684257/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
