Year,Make,Model,Price,Mileage,Location,Additional,Fuel Type,Car Type,Scraping Time,Source,Car Build,MSRP,Retention Rate,Age,Fuel Type Adjusted
2020,Ford,Everest,43851,140948,VIC,Drive Away,Diesel,2.0L Diesel SUV 4XD,1713581664,Drive,SUV,41990,1.044320076,4,Conventional
2023,Kia,EV6,103990,3175,VIC,Drive Away,Electric,SUV 4WD,1712977818,Drive,SUV,99590,1.044181143,1,Electric
2022,MG,ZS,22960,27147,VIC,*Excl. Govt. Charges,Petrol,1.5L SUV FWD,1719025648,Drive,SUV,21990,1.04411096,2,Conventional
2019,Hyundai,Kona,24536,43780,QLD,Drive Away,Petrol,2.0L SUV FWD,1720827034,Drive,SUV,23500,1.044085106,5,Conventional
2021,Kia,Stonic,23999,41466,SA,*Excl. Govt. Charges,Petrol,1.4L SUV FWD,1715394213,Drive,SUV,22990,1.043888647,3,Conventional
2020,Nissan,X-TRAIL,27490,20713,NSW,*Excl. Govt. Charges,Petrol,2.5L SUV FWD,1717824735,Drive,SUV,26335,1.043857984,4,Conventional
2023,Mazda,CX-60,71545,1913,VIC,Drive Away,Petrol,GT 3.3L SUV 4WD,1716605042,Drive,SUV,68550,1.043690737,1,Conventional
2019,Ford,Ranger,42988,102194,WA,*Excl. Govt. Charges,Diesel,3.2L Diesel Dual Cab Ute 4XD,1711776069,Drive,UTE,41190,1.043651372,5,Conventional
2019,Ford,Ranger,42988,106135,WA,*Excl. Govt. Charges,Diesel,3.2L Diesel Dual Cab Ute 4XD,1718429242,Drive,UTE,41190,1.043651372,5,Conventional
2020,Toyota,RAV4,45310,29284,NSW,Drive Away,Hybrid,2.5L SUV FWD Hybrid,1717247450,Drive,SUV,43415,1.043648509,4,Hybrid
2023,Mazda,CX-60,76950,1392,VIC,Drive Away,Petrol,Azami 3.3L SUV 4WD,1715394044,Drive,SUV,73750,1.043389831,1,Conventional
2022,Toyota,Camry,42950,55982,VIC,*Excl. Govt. Charges,Hybrid,2.5L Sedan FWD Hybrid,1716605771,Drive,OTHER,41190,1.042728818,2,Hybrid
2023,Lexus,RX,129990,14460,QLD,Drive Away,Hybrid,F Sport Performance 2.4L SUV 4WD Hybrid,1720826550,Drive,SUV,124675,1.04263084,1,Hybrid
2023,Lexus,RX,129990,6385,QLD,Drive Away,Hybrid,F Sport Performance 2.4L SUV 4WD Hybrid,1712378281,Drive,SUV,124675,1.04263084,1,Hybrid
2023,Mazda,CX-60,76888,2156,VIC,Drive Away,Petrol,Azami 3.3L SUV 4WD,1711776416,Drive,SUV,73750,1.042549153,1,Conventional
2020,Toyota,Hilux,41990,128403,WA,*Excl. Govt. Charges,Diesel,2.8L Diesel Dual Cab Cab Chassis 4XD,1717247767,Drive,OTHER,40310,1.041677003,4,Conventional
2021,Toyota,Kluger,65990,53209,QLD,Drive Away,Hybrid,2.5L SUV 4WD Hybrid,1712377322,Drive,SUV,63350,1.041673244,3,Hybrid
2020,Toyota,Hilux,41988,125010,WA,*Excl. Govt. Charges,Diesel,2.8L Diesel Dual Cab Cab Chassis 4XD,1718428603,Drive,OTHER,40310,1.041627388,4,Conventional
2019,Toyota,Corolla,27428,53703,QLD,Drive Away,Hybrid,Hybrid 1.8L Hatchback FWD Hybrid,1719025875,Drive,OTHER,26335,1.041503702,5,Hybrid
2020,Toyota,RAV4,45205,32426,NSW,Drive Away,Hybrid,2.5L SUV FWD Hybrid,1715393142,Drive,SUV,43415,1.04122999,4,Hybrid
2019,Toyota,RAV4,49430,19517,NT,Drive Away,Petrol,2.5L SUV 4WD,1718427777,Drive,SUV,47490,1.040850705,5,Conventional
2023,Mazda,CX-60,76745,1392,VIC,Drive Away,Petrol,Azami 3.3L SUV 4WD,1718428924,Drive,SUV,73750,1.040610169,1,Conventional
2023,Mazda,CX-60,62990,2000,VIC,Drive Away,Petrol,Evolve 3.3L SUV 4WD,1714183635,Drive,SUV,60550,1.040297275,1,Conventional
2023,Lexus,RX,114990,15244,QLD,Drive Away,Hybrid,Sports Luxury 2.5L SUV 4WD Hybrid,1712976660,Drive,SUV,110575,1.039927651,1,Hybrid
2023,Lexus,RX,114990,15233,QLD,Drive Away,Hybrid,Sports Luxury 2.5L SUV 4WD Hybrid,1718428700,Drive,SUV,110575,1.039927651,1,Hybrid
2023,Mazda,CX-60,62950,16890,VIC,Drive Away,Petrol,Evolve 3.3L SUV 4WD,1712378160,Drive,SUV,60550,1.039636664,1,Conventional
2020,Toyota,C-HR,31490,58263,QLD,*Excl. Govt. Charges,Petrol,1.2L SUV FWD,1717824560,Drive,SUV,30290,1.039617035,4,Conventional
2020,Toyota,C-HR,31490,59964,VIC,*Excl. Govt. Charges,Petrol,1.2L SUV FWD,1711776066,Drive,SUV,30290,1.039617035,4,Conventional
2023,BMW,i4,89300,1555,QLD,Drive Away,Electric,Hatchback RWD,1712977868,Drive,OTHER,85900,1.039580908,1,Electric
2023,BMW,i4,89300,1580,VIC,Drive Away,Electric,Hatchback RWD,1712976689,Drive,OTHER,85900,1.039580908,1,Electric
2023,BMW,i4,89300,1620,VIC,Drive Away,Electric,Hatchback RWD,1712377572,Drive,OTHER,85900,1.039580908,1,Electric
2020,Toyota,Hilux,41888,94196,WA,*Excl. Govt. Charges,Diesel,2.8L Diesel Dual Cab Cab Chassis 4XD,1716008445,Drive,OTHER,40310,1.039146614,4,Conventional
2020,Toyota,Hilux,41888,122472,WA,*Excl. Govt. Charges,Diesel,2.8L Diesel Dual Cab Cab Chassis 4XD,1715393692,Drive,OTHER,40310,1.039146614,4,Conventional
2023,Mazda,CX-60,64998,2200,QLD,Drive Away,Diesel,Evolve 3.3L Diesel SUV 4WD,1714786967,Drive,SUV,62550,1.039136691,1,Conventional
2023,Mazda,CX-60,64950,1026,VIC,Drive Away,Diesel,Evolve 3.3L Diesel SUV 4WD,1714182521,Drive,SUV,62550,1.038369305,1,Conventional
2021,Toyota,Corolla,28446,57552,QLD,Drive Away,Hybrid,Hybrid 1.8L Hatchback FWD Hybrid,1716008275,Drive,OTHER,27395,1.038364665,3,Hybrid
2021,Kia,Stonic,23859,47952,SA,Drive Away,Petrol,1.4L SUV FWD,1717824072,Drive,SUV,22990,1.037799043,3,Conventional
2021,Hyundai,i30,26350,89480,WA,*Excl. Govt. Charges,Petrol,2.0L Hatchback FWD,1712378479,Drive,OTHER,25395,1.037605828,3,Conventional
2019,Toyota,Hilux,35998,204196,WA,*Excl. Govt. Charges,Diesel,2.8L Diesel Dual Cab Cab Chassis 4XD,1712977061,Drive,OTHER,34695,1.037555844,5,Conventional
2019,Toyota,Hilux,35988,172905,WA,*Excl. Govt. Charges,Diesel,2.8L Diesel Dual Cab Cab Chassis 4XD,1712377347,Drive,OTHER,34695,1.037267618,5,Conventional
2022,Kia,Sportage,34726,63342,WA,*Excl. Govt. Charges,Diesel,2.0L Diesel SUV 4WD,1717246866,Drive,SUV,33490,1.036906539,2,Conventional
2022,Kia,Sportage,34726,63346,WA,*Excl. Govt. Charges,Diesel,2.0L Diesel SUV 4WD,1719639915,Drive,SUV,33490,1.036906539,2,Conventional
2023,Mazda,CX-60,89990,2015,VIC,Drive Away,Hybrid,Azami 2.5L SUV 4WD Hybrid,1717825052,Drive,SUV,86800,1.036751152,1,Hybrid
2020,Toyota,RAV4,47990,87000,QLD,*Excl. Govt. Charges,Hybrid,2.5L SUV 4WD Hybrid,1719025974,Drive,SUV,46290,1.036724995,4,Hybrid
2019,Hyundai,Kona,27990,56996,VIC,Drive Away,Petrol,1.6L SUV 4WD,1720826167,Drive,SUV,27000,1.036666667,5,Conventional
2020,Toyota,RAV4,44999,28904,WA,*Excl. Govt. Charges,Hybrid,2.5L SUV FWD Hybrid,1714182465,Drive,SUV,43415,1.036485086,4,Hybrid
2020,Toyota,RAV4,44990,41409,NSW,*Excl. Govt. Charges,Hybrid,2.5L SUV FWD Hybrid,1712976949,Drive,SUV,43415,1.036277784,4,Hybrid
